year,quarter,credit_spread,kosdaq_return,gdp_growth_yoy,usdkrw_chg,vix_avg,cpi_yoy
2000,Q1,0.9753,,12.6,-3.239,23.1503,1.9234
2000,H1,1.0144,,9.2,0.5865,24.924,1.587
2000,Q3,1.11,,9.3,0.0179,19.169,2.9817
2000,ANNUAL,1.1032,,6.2,12.9776,26.0167,2.54
2001,Q1,1.4728,,5.0,5.4219,25.7265,3.6945
2001,H1,1.2515,,4.9,-2.0557,23.9238,5.0428
2001,Q3,1.3441,,3.4,0.6458,25.3803,4.2461
2001,ANNUAL,1.3973,,5.6,1.2986,27.91,3.2975
2002,Q1,0.9047,,7.4,0.0226,21.3608,2.5245
2002,H1,0.7744,,7.5,-9.3938,21.6431,2.6885
2002,Q3,0.8127,,8.1,1.972,35.0684,2.5144
2002,ANNUAL,0.6092,,8.0,-2.0481,30.7267,3.3166
2003,Q1,0.5637,,4.1,4.3735,30.0226,4.0753
2003,H1,0.9936,31.7183,2.3,-4.7729,21.5313,3.3052
2003,Q3,1.1813,-9.8291,2.0,-3.5957,19.3202,3.168
2003,ANNUAL,0.8022,0.0223,4.0,4.1384,17.4272,3.5226
2004,Q1,0.791,-3.2405,5.7,-3.6901,16.6581,3.2468
2004,H1,0.6862,-11.2816,6.6,-0.0954,16.2302,3.4102
2004,Q3,0.5521,-5.9972,5.2,-0.3991,15.4422,4.3316
2004,ANNUAL,0.4547,5.0403,3.4,-9.0687,13.6513,3.3701
2005,Q1,0.4482,19.6408,3.1,-1.8682,12.787,3.2508
2005,H1,0.4098,10.5883,3.9,0.0098,13.4073,2.9775
2005,Q3,0.4047,13.6603,5.0,1.3276,12.2508,2.3362
2005,ANNUAL,0.4092,22.7013,5.3,-2.4085,12.7817,2.4623
2006,Q1,0.4379,-5.2124,6.3,-3.6624,12.0424,2.0814
2006,H1,0.2774,-11.204,4.9,-1.5985,14.5287,2.2386
2006,Q3,0.3168,1.6489,5.1,-1.5724,13.6079,2.5239
2006,ANNUAL,0.331,0.9543,4.8,-1.6504,11.0349,2.1248
2007,Q1,0.3784,7.0676,5.0,1.151,12.5636,2.0032
2007,H1,0.3955,19.9849,5.9,-1.4357,13.7319,2.4489
2007,Q3,0.4223,2.038,5.5,-0.6582,21.5892,2.2998
2007,ANNUAL,0.6662,-11.3686,6.8,1.9007,22.0298,3.3791
2008,Q1,1.1266,-8.4887,5.8,5.7024,26.1202,3.8017
2008,H1,0.9458,-8.4196,4.4,5.2133,20.673,4.8451
2008,Q3,1.3308,-25.3173,4.0,13.8298,25.0733,5.5418
2008,ANNUAL,3.6088,-24.6659,-1.7,5.8769,58.5959,4.4955
2009,Q1,3.1785,26.9206,-2.1,9.5109,45.0,3.9115
2009,H1,1.4614,15.1172,-1.3,-6.7098,33.0157,2.7653
2009,Q3,1.2868,4.2853,1.1,-7.4726,25.4863,1.9801
2009,ANNUAL,1.1172,1.5081,5.4,-1.775,23.0702,2.4075
2010,Q1,1.1079,0.4225,7.9,-3.1518,20.1497,2.9839
2010,H1,0.8698,-4.9948,8.1,7.0304,26.3914,2.6635
2010,Q3,0.9373,0.5653,5.8,-5.6432,24.2836,2.8739
2010,ANNUAL,0.8653,3.6408,6.3,-0.2715,19.3184,3.2345
2011,Q1,0.7967,2.8843,5.4,-2.7834,18.6148,3.8387
2011,H1,0.7753,-8.7302,3.8,-2.6283,17.4824,3.9816
2011,Q3,0.7392,-6.2329,3.1,9.4054,30.5836,4.3155
2011,ANNUAL,0.8523,11.2352,2.6,-2.2213,29.9395,3.9637
2012,Q1,0.8297,3.8746,2.5,-1.344,18.204,3.0122
2012,H1,0.6521,-5.8511,2.6,1.4062,20.0357,2.4291
2012,Q3,0.5519,7.0774,2.5,-3.0508,16.1927,1.6104
2012,ANNUAL,0.4994,-5.2427,2.6,-4.2464,16.7529,1.716
2013,Q1,0.3849,11.827,2.3,3.8278,13.527,1.5577
2013,H1,0.3639,-6.479,3.1,3.381,14.837,1.2152
2013,Q3,0.4195,3.0497,3.7,-6.4452,14.2797,1.3662
2013,ANNUAL,0.4217,-6.5247,4.0,-1.8873,14.2328,1.0686
2014,Q1,0.4275,8.3182,3.8,1.2793,14.8289,1.128
2014,H1,0.4253,-0.8346,3.6,-5.0898,12.7383,1.608
2014,Q3,0.3944,6.733,3.0,3.5686,13.0744,1.3811
2014,ANNUAL,0.3334,-5.2772,2.6,4.6259,16.0638,0.9822
2015,Q1,0.2859,19.8022,2.7,0.5277,16.5648,0.6971
2015,H1,0.2425,14.1094,1.9,1.7285,13.7402,0.5632
2015,Q3,0.2534,-8.5939,3.5,6.2628,19.3073,0.6457
2015,ANNUAL,0.3758,0.5704,3.6,-1.8836,17.0333,0.9205
2016,Q1,0.4736,0.8837,3.0,-1.5785,20.4862,0.8593
2016,H1,0.4607,-1.9306,3.9,0.971,15.6759,0.8406
2016,Q3,0.4111,0.9065,3.0,-5.8728,13.2339,0.7351
2016,ANNUAL,0.4344,-7.3061,2.8,10.2344,14.0979,1.4514
2017,Q1,0.4755,-1.9258,3.5,-7.6458,11.6919,2.1997
2017,H1,0.526,8.0351,3.0,2.1055,11.4263,1.9214
2017,Q3,0.5418,-2.4244,4.1,0.623,10.9443,2.2185
2017,ANNUAL,0.5526,22.3032,3.2,-6.5667,10.3079,1.441
2018,Q1,0.5439,9.1017,3.2,-0.4573,17.3548,1.0767
2018,H1,0.6136,-6.0694,3.3,5.1758,15.3375,1.4922
2018,Q3,0.5906,0.495,2.6,-0.8024,12.8568,1.5463
2018,ANNUAL,0.461,-17.8311,3.5,0.4853,21.0537,1.787
2019,Q1,0.4531,7.942,1.9,1.7619,16.47,0.5417
2019,H1,0.4835,-5.3174,2.4,1.6699,15.183,0.6522
2019,Q3,0.5109,-9.959,2.2,3.8468,15.9602,0.0453
2019,ANNUAL,0.5245,7.7313,2.7,-3.6211,13.9858,0.2956
2020,Q1,0.645,-15.0426,1.2,5.5968,31.2245,0.9636
2020,H1,1.2658,29.68,-2.6,-1.7913,34.4937,0.009
2020,Q3,1.3635,14.9301,-0.8,-2.2653,25.8089,0.7248
2020,ANNUAL,1.282,14.1803,-0.5,-7.2859,25.6217,0.4541
2021,Q1,1.0584,-1.2649,2.6,4.182,23.2025,1.4291
2021,H1,0.7368,7.7172,7.0,-0.3088,18.0,2.4912
2021,Q3,0.4452,-2.5914,4.6,4.8584,18.2891,2.5352
2021,ANNUAL,0.5409,3.061,4.2,0.0506,19.2744,3.5429
2022,Q1,0.6076,-8.651,3.4,2.1341,25.3729,3.9117
2022,H1,0.7332,-21.0782,3.0,6.7806,27.3537,5.371
2022,Q3,0.9551,-9.7647,3.4,10.9753,24.7313,5.8406
2022,ANNUAL,1.5024,0.9871,1.3,-11.6741,25.0754,5.2145
2023,Q1,0.9173,24.7656,1.3,2.8801,20.6945,4.5989
2023,H1,0.8087,2.4448,1.2,0.6903,16.4611,3.2648
2023,Q3,0.7777,-3.1351,1.5,2.4375,15.053,3.1362
2023,ANNUAL,0.7786,3.038,2.2,-4.1196,15.3257,3.417
2024,Q1,0.6964,4.4924,3.4,4.4517,13.7038,3.0097
2024,H1,0.4769,-7.185,2.2,3.1482,14.0298,2.6662
2024,Q3,0.5057,-9.1095,1.4,-5.0101,17.1655,2.051
2024,ANNUAL,0.5972,-11.2177,1.1,11.3974,17.4173,1.5768
2025,Q1,0.606,-0.7874,0.0,-0.2381,18.6263,2.1121
2025,H1,0.5677,16.1477,0.6,-7.5077,23.6321,2.053
2025,Q3,0.4801,7.7402,1.8,3.3766,15.9575,1.9574
2025,ANNUAL,0.4486,9.9146,1.6,2.332,17.7981,2.3807
